Country,Region,Happiness Rank,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Happiness Score
Switzerland,Western Europe,1,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,7.587
Iceland,Western Europe,2,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,7.561
Denmark,Western Europe,3,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,7.527
Norway,Western Europe,4,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,7.522
Canada,North America,5,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,7.427
Finland,Western Europe,6,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,7.406
Netherlands,Western Europe,7,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,7.378
Sweden,Western Europe,8,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,7.364
New Zealand,Australia and New Zealand,9,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,7.286
Australia,Australia and New Zealand,10,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,7.284
Israel,Middle East and Northern Africa,11,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,7.278
Costa Rica,Latin America and Caribbean,12,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,7.226
Austria,Western Europe,13,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,7.2
Mexico,Latin America and Caribbean,14,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,7.187
United States,North America,15,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,7.119
Brazil,Latin America and Caribbean,16,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,6.983
Luxembourg,Western Europe,17,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,6.946
Ireland,Western Europe,18,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,6.94
Belgium,Western Europe,19,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,6.937
United Arab Emirates,Middle East and Northern Africa,20,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,6.901
United Kingdom,Western Europe,21,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,6.867
Oman,Middle East and Northern Africa,22,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489,6.853
Venezuela,Latin America and Caribbean,23,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131,6.81
Singapore,Southeastern Asia,24,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,6.798
Panama,Latin America and Caribbean,25,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,6.786
Germany,Western Europe,26,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569,6.75
Chile,Latin America and Caribbean,27,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,6.67
Qatar,Middle East and Northern Africa,28,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,6.611
France,Western Europe,29,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126,6.575
Argentina,Latin America and Caribbean,30,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,6.574
Czech Republic,Central and Eastern Europe,31,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,6.505
Uruguay,Latin America and Caribbean,32,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142,6.485
Colombia,Latin America and Caribbean,33,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,6.477
Thailand,Southeastern Asia,34,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945,6.455
Saudi Arabia,Middle East and Northern Africa,35,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2.43872,6.411
Spain,Western Europe,36,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367,6.329
Malta,Western Europe,37,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,6.302
Taiwan,Eastern Asia,38,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,6.298
Kuwait,Middle East and Northern Africa,39,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,1.87634,6.295
Suriname,Latin America and Caribbean,40,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,2.79094,6.269
Trinidad and Tobago,Latin America and Caribbean,41,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.26882,6.168
El Salvador,Latin America and Caribbean,42,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,3.035,6.13
Guatemala,Latin America and Caribbean,43,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255,6.123
Uzbekistan,Central and Eastern Europe,44,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,2.23741,6.003
Slovakia,Central and Eastern Europe,45,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,2.24639,5.995
Japan,Eastern Asia,46,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435,5.987
South Korea,Eastern Asia,47,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2.21978,5.984
Ecuador,Latin America and Caribbean,48,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2.53942,5.975
Bahrain,Middle East and Northern Africa,49,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797,5.96
Italy,Western Europe,50,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2.02518,5.948
Bolivia,Latin America and Caribbean,51,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2.82334,5.89
Moldova,Central and Eastern Europe,52,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712,5.889
Paraguay,Latin America and Caribbean,53,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,2.18896,5.878
Kazakhstan,Central and Eastern Europe,54,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2.24729,5.855
Slovenia,Central and Eastern Europe,55,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,1.61583,5.848
Lithuania,Central and Eastern Europe,56,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2.44649,5.833
Nicaragua,Latin America and Caribbean,57,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2.32407,5.828
Peru,Latin America and Caribbean,58,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2.5945,5.824
Belarus,Central and Eastern Europe,59,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2.1309,5.813
Poland,Central and Eastern Europe,60,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,1.86565,5.791
Malaysia,Southeastern Asia,61,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,1.88541,5.77
Croatia,Central and Eastern Europe,62,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2.75414,5.759
Libya,Middle East and Northern Africa,63,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,2.09066,5.754
Russia,Central and Eastern Europe,64,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2.27394,5.716
Jamaica,Latin America and Caribbean,65,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2.32038,5.709
North Cyprus,Western Europe,66,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,1.59888,5.695
Cyprus,Western Europe,67,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,1.88931,5.689
Algeria,Middle East and Northern Africa,68,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,5.605
Kosovo,Central and Eastern Europe,69,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2.76579,5.589
Turkmenistan,Central and Eastern Europe,70,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,1.86984,5.548
Mauritius,Sub-Saharan Africa,71,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.76145,5.477
Hong Kong,Eastern Asia,72,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,0.65429,5.474
Estonia,Central and Eastern Europe,73,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,1.58782,5.429
Indonesia,Southeastern Asia,74,0.82827,1.08708,0.63793,0.46611,0,0.51535,1.86399,5.399
Vietnam,Southeastern Asia,75,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2.20173,5.36
Turkey,Middle East and Northern Africa,76,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2.08528,5.332
Kyrgyzstan,Central and Eastern Europe,77,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2.2327,5.286
Nigeria,Sub-Saharan Africa,78,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2.89319,5.268
Bhutan,Southern Asia,79,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,1.63794,5.253
Azerbaijan,Central and Eastern Europe,80,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2.00073,5.212
Pakistan,Southern Asia,81,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,3.10709,5.194
Jordan,Middle East and Northern Africa,82,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,1.87996,5.192
Montenegro,Central and Eastern Europe,82,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2.10017,5.192
China,Eastern Asia,84,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,1.8604,5.14
Zambia,Sub-Saharan Africa,85,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2.6343,5.129
Romania,Central and Eastern Europe,86,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,1.93129,5.124
Serbia,Central and Eastern Europe,87,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,2.025,5.123
Portugal,Western Europe,88,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,1.26462,5.102
Latvia,Central and Eastern Europe,89,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,1.62215,5.098
Philippines,Southeastern Asia,90,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,1.7536,5.073
Somaliland region,Sub-Saharan Africa,91,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,2.11032,5.057
Morocco,Middle East and Northern Africa,92,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,2.45373,5.013
Macedonia,Central and Eastern Europe,93,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,1.73933,5.007
Mozambique,Sub-Saharan Africa,94,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,3.05137,4.971
Albania,Central and Eastern Europe,95,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,4.959
Bosnia and Herzegovina,Central and Eastern Europe,96,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2.06367,4.949
Lesotho,Sub-Saharan Africa,97,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2.79832,4.898
Dominican Republic,Latin America and Caribbean,98,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,1.21305,4.885
Laos,Southeastern Asia,99,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,1.73799,4.876
Mongolia,Eastern Asia,100,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,1.34759,4.874
Swaziland,Sub-Saharan Africa,101,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2.48676,4.867
Greece,Western Europe,102,1.15406,0.92933,0.88213,0.07699,0.01397,0,1.80101,4.857
Lebanon,Middle East and Northern Africa,103,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,1.57059,4.839
Hungary,Central and Eastern Europe,104,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,1.24074,4.8
Honduras,Latin America and Caribbean,105,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,1.84408,4.788
Tajikistan,Central and Eastern Europe,106,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,2.11399,4.786
Tunisia,Middle East and Northern Africa,107,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,2.12466,4.739
Palestinian Territories,Middle East and Northern Africa,108,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,2.04384,4.715
Bangladesh,Southern Asia,109,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,2.51767,4.694
Iran,Middle East and Northern Africa,110,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,1.6944,4.686
Ukraine,Central and Eastern Europe,111,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5714,4.681
Iraq,Middle East and Northern Africa,112,0.98549,0.81889,0.60237,0,0.13788,0.17922,1.95335,4.677
South Africa,Sub-Saharan Africa,113,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,1.71956,4.642
Ghana,Sub-Saharan Africa,114,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,2.30919,4.633
Zimbabwe,Sub-Saharan Africa,115,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,2.44191,4.61
Liberia,Sub-Saharan Africa,116,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,2.77729,4.571
India,Southern Asia,117,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,2.27513,4.565
Sudan,Sub-Saharan Africa,118,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,2.20857,4.55
Haiti,Latin America and Caribbean,119,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,2.24173,4.518
Congo (Kinshasa),Sub-Saharan Africa,120,0,1.0012,0.09806,0.22605,0.07625,0.24834,2.86712,4.517
Nepal,Southern Asia,121,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,1.95637,4.514
Ethiopia,Sub-Saharan Africa,122,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,2.44876,4.512
Sierra Leone,Sub-Saharan Africa,123,0.33024,0.95571,0,0.4084,0.08786,0.21488,2.51009,4.507
Mauritania,Sub-Saharan Africa,124,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,2.11773,4.436
Kenya,Sub-Saharan Africa,125,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,1.78555,4.419
Djibouti,Sub-Saharan Africa,126,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,2.05125,4.369
Armenia,Central and Eastern Europe,127,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,1.75873,4.35
Botswana,Sub-Saharan Africa,128,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,1.46181,4.332
Myanmar,Southeastern Asia,129,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,1.41805,4.307
Georgia,Central and Eastern Europe,130,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,1.59541,4.297
Malawi,Sub-Saharan Africa,131,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2.80791,4.292
Sri Lanka,Southern Asia,132,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,0.67108,4.271
Cameroon,Sub-Saharan Africa,133,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071,4.252
Bulgaria,Central and Eastern Europe,134,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,4.218
Egypt,Middle East and Northern Africa,135,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927,4.194
Yemen,Middle East and Northern Africa,136,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,1.92313,4.077
Angola,Sub-Saharan Africa,137,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939,4.033
Mali,Sub-Saharan Africa,138,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1.79293,3.995
Congo (Brazzaville),Sub-Saharan Africa,139,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135,3.989
Comoros,Sub-Saharan Africa,140,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1.95812,3.956
Uganda,Sub-Saharan Africa,141,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.42766,3.931
Senegal,Sub-Saharan Africa,142,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,1.44395,3.904
Gabon,Sub-Saharan Africa,143,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,0.99895,3.896
Niger,Sub-Saharan Africa,144,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877,3.845
Cambodia,Southeastern Asia,145,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,3.819
Tanzania,Sub-Saharan Africa,146,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,1.38079,3.781
Madagascar,Sub-Saharan Africa,147,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,1.851,3.681
Central African Republic,Sub-Saharan Africa,148,0.0785,0,0.06699,0.48879,0.08289,0.23835,2.7223,3.678
Chad,Sub-Saharan Africa,149,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94296,3.667
Guinea,Sub-Saharan Africa,150,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,1.99172,3.656
Ivory Coast,Sub-Saharan Africa,151,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.41723,3.655
Burkina Faso,Sub-Saharan Africa,152,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494,3.587
Afghanistan,Southern Asia,153,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,3.575
Rwanda,Sub-Saharan Africa,154,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,0.67042,3.465
Benin,Sub-Saharan Africa,155,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328,3.34
Syria,Middle East and Northern Africa,156,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,0.32858,3.006
Burundi,Sub-Saharan Africa,157,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302,2.905
Togo,Sub-Saharan Africa,158,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.56726,2.839
